,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT2G37400,0.693184029403608,4.27546180249865,4.44002387926318,0.000233690638929725,0.00501139233839125,0.474725945400693
AT5G36140,-2.63297150314574,0.0175507739921739,-4.43940551134778,0.000234033744011592,0.00501364971927271,0.389461031106168
AT1G79150,1.0494775192892,5.5927787391498,4.43656352480574,0.000235617158767795,0.00504156608649081,0.337451518684445
AT1G33470,0.552353707596924,6.67716717702617,4.43620944395194,0.000235815187916506,0.00504156608649081,0.297562973179948
AT5G01230,0.853843689026324,3.59310288628912,4.43307443093574,0.000237575840001133,0.00507406150681244,0.53229742091139
AT1G10780,0.932220325604768,3.1901410796011,4.43138416504879,0.000238530583763585,0.0050892569300773,0.576156276655986
AT1G73570,0.843787599713911,2.1049646168116,4.43063884819448,0.000238952798644163,0.0050892569300773,0.641326538997649
AT5G18840,1.51096592401263,3.6390503318179,4.43053516779986,0.000239011592067198,0.0050892569300773,0.543476101607998
AT4G19410,0.528924846753391,7.43631001160138,4.42870056624036,0.000240054336179256,0.00510346340715077,0.2784694552969
AT2G14890,0.647613966111598,8.29692833375356,4.4285098725805,0.000240162983865919,0.00510346340715077,0.281342997445259
AT3G10530,1.1074398454117,4.51849376237796,4.42778652236082,0.000240575561931766,0.00510708242247899,0.415385105507403
AT3G19500,1.93973001313358,0.331150050178263,4.42627234620928,0.000241441511410413,0.00511784313859963,0.451765573014351
AT1G18250,1.45378864031493,4.96966429316267,4.4260515885209,0.000241568022908284,0.00511784313859963,0.381547865572862
AT4G00340,0.481027343345091,4.95071535406641,4.42441278548438,0.000242509270646491,0.00513262592894381,0.363299272844498
AT3G56100,1.34431740618076,3.90292689306824,4.42388385590426,0.00024281384763819,0.00513391766119663,0.482166945517698
AT3G18000,1.20789551362029,5.93256641644912,4.42282573094517,0.000243424308663754,0.00514166776215624,0.287499369542477
AT3G53235,1.26233326037533,4.43937408812063,4.4201437928184,0.000244978507833412,0.00516407940242221,0.423348954952186
AT1G21690,0.814546206843106,4.35621731367064,4.42004051987221,0.000245038554056779,0.00516407940242221,0.421972949263298
AT1G19490,0.797633433909098,3.01023341082825,4.41972812761294,0.000245220279023939,0.00516407940242221,0.576205671632727
AT5G26820,-0.757152259072409,5.35710666735516,-4.41690014618788,0.000246871546786551,0.00519366487650747,0.321644592810933
AT4G34910,0.802442788704164,4.71384899639656,4.41612787269666,0.00024732441849143,0.00519800472761649,0.371712284752459
AT3G02760,0.504149713619755,6.68746770673888,4.41472304476023,0.000248150369751932,0.00520524262197416,0.247802285621746
AT3G49570,-2.43325889391137,0.305751660296962,-4.41407440658251,0.00024853266306703,0.00520524262197416,0.43243328636728
AT2G42840,1.83028557672777,6.229908413186,4.41395610166012,0.000248602453197723,0.00520524262197416,0.283074920636015
AT5G10540,0.374407416903551,6.95057653643754,4.41386448286012,0.000248656514247058,0.00520524262197416,0.243930261597689
AT1G18400,-1.50846950185105,2.03510080131491,-4.41218427968521,0.000249650040202743,0.00521548587770373,0.600800551132879
AT3G15240,1.07562530941582,5.44611988214555,4.41154235165796,0.000250030672507181,0.00521548587770373,0.304327854480088
AT5G02140,1.28648628612036,1.72521642938214,4.41137592442156,0.000250129450942231,0.00521548587770373,0.600186401755109
AT1G55890,0.704156510025371,5.06869324749871,4.41136574418866,0.000250135494419282,0.00521548587770373,0.325476064627405
AT3G44330,0.487831023934851,7.21817351363914,4.41072016128562,0.000250519043286121,0.00521832157358838,0.236379543096758
AT2G30620,0.550882362740588,7.67556967735831,4.40775187486474,0.000252290155885115,0.00525002614615817,0.229888257833258
AT5G40150,0.767187720013984,3.07427806683209,4.40638375799537,0.000253110710863995,0.00526190708581164,0.533521438627498
AT5G48600,0.817205147176849,5.2220430401886,4.40463369264455,0.000254164255758986,0.00527837776888198,0.283439641220509
AT1G46480,2.04877623877913,1.76745679818876,4.40382338412873,0.00025465355476927,0.00527837776888198,0.583551993219316
AT5G45210,0.788533652492507,4.12097528310116,4.40360566606257,0.000254785183442392,0.00527837776888198,0.423028494401213
AT3G62110,0.602746117180829,4.27480043247014,4.40318340628941,0.000255040669406443,0.00527837776888198,0.39562874472194
AT2G16270,0.987501179697038,3.98570685488435,4.40299461711094,0.000255154978486278,0.00527837776888198,0.41638428646509
AT2G16760,-0.988578237715302,4.90705140763157,-4.39981898032102,0.000257085510810776,0.00531310055675605,0.311771410185533
AT1G14710,0.525147426186636,6.21213055575323,4.39755405105901,0.000258471362141275,0.00533650961208431,0.215800103121571
AT4G23540,0.670239486480581,4.61385817690556,4.39662153462553,0.000259044122768935,0.00533980160807866,0.342293334775972
